#k-distance frequency[THz]
0.11694521 0.88314479
0.11955407 0.89175754
0.12216294 0.89915179
0.12477181 0.90531621
0.12738067 0.91028229
0.12998954 0.91413560
0.13259843 0.91702820
0.13520730 0.91918367
0.13781617 0.92088799
0.14042503 0.92246639
0.14303390 0.92425291
0.14564277 0.92655953
0.14825163 0.92964909
0.15086050 0.93371414
0.15346937 0.93886242
0.15607826 0.94510949
0.15868712 0.95237734
0.16129599 0.96049703
0.16390486 0.96921561
0.16651372 0.97821141
0.16912259 0.98712462
0.17173146 0.99560356
0.17434032 1.00335218
0.17694919 1.01015512
0.17955808 1.01587093
0.18216695 1.02040721
0.18477581 1.02369815
0.18738468 1.02569446
0.18999355 1.02636370
0.18999355 1.02636370
0.19258620 1.02607853
0.19517887 1.02521426
0.19777152 1.02374809
0.20036418 1.02165304
0.20295684 1.01891197
0.20554950 1.01553225
0.20814215 1.01155649
0.21073481 1.00706588
0.21332747 1.00217510
0.21592012 0.99702145
0.21851279 0.99175214
0.22110544 0.98651368
0.22369811 0.98144553
0.22629076 0.97667923
0.22888341 0.97234345
0.23147608 0.96857659
0.23406873 0.96555117
0.23666140 0.96351837
0.23925405 0.96288285
0.24184672 0.96428663
0.24443937 0.96852782
0.24703202 0.97601350
0.24962469 0.98620708
0.25221734 0.99802079
0.25481000 1.01046150
0.25740266 1.02270272
0.25999532 1.03353839
0.26258797 1.03897316
0.26258797 1.03897316
0.26519684 1.04211832
0.26780571 1.03855993
0.27041457 1.03087036
0.27302344 1.02139613
0.27563233 1.02700897
0.27824120 1.03666229
0.28085006 1.03658246
0.28345893 1.02920314
0.28606780 1.01946261
0.28867666 1.00901227
0.29128553 0.99840299
0.29389440 0.98792255
0.29650327 0.97780848
0.29911216 0.96830391
0.30172102 0.95965732
0.30432989 0.95209429
0.30693876 0.94578050
0.30954762 0.94079681
0.31215649 0.93713867
0.31476536 0.93473665
0.31737422 0.93348436
0.31998309 0.93326188
0.32259198 0.93394981
0.32520085 0.93086710
0.32780971 0.91758266
0.33041858 0.90428636
0.33302745 0.89105186
0.33563631 0.87795283
0.33824518 0.86506314
0.34085405 0.85245685
0.34346291 0.84020799
0.34607180 0.82839035
0.34868067 0.81707690
0.35128954 0.80633931
0.35389841 0.79624711
0.35650727 0.75981434
0.35911614 0.71792923
0.36172501 0.71896810
0.36433387 0.72012500
0.36694274 0.72132398
0.36955163 0.72248882
0.37216050 0.72344226
0.37476936 0.72421995
0.37737823 0.72488972
0.37998710 0.72516505
0.37998710 0.72516505
0.38261312 0.72447413
0.38523915 0.72335876
0.38786518 0.72300661
0.39049121 0.72123795
0.39311724 0.72282639
0.39574327 0.72587996
0.39836929 0.73032380
0.40099532 0.73602235
0.40362135 0.77297899
0.40624738 0.85011324
0.40887341 0.86891656
0.41149944 0.88459469
0.41412546 0.90040388
0.41675149 0.91627002
0.41937752 0.92420769
0.42200355 0.90840942
0.42462958 0.89203637
